Limit Cost:;1000;

Num;RelL;RelR;Cost;Times;IterNum;Time(sec);GetTime_num;Sim_num;
0;0.864647990685;0.963008836676;585;[-1,-1,-1,-1,-1,-1];75;0.632999897003;0;0;
1;0.804317727495;0.946210764791;598;[-1,-1,-1,-1,-1,-1];32;0.286000013351;0;0;
2;0.832015500361;0.960512599202;696;[-1,-1,-1,-1,-1,-1];32;0.286999940872;0;0;
3;0.824627844449;0.955764966439;756;[-1,-1,-1,-1,-1,-1];61;0.516000032425;0;0;
4;0.891424231098;0.952828436532;549;[-1,-1,-1,-1,-1,-1];32;0.289000034332;0;0;
5;0.828595253105;0.956137913568;752;[-1,-1,-1,-1,-1,-1];32;0.27999997139;0;0;
6;0.84104520763;0.961369824961;614;[-1,-1,-1,-1,-1,-1];32;0.27999997139;0;0;
7;0.820723121889;0.952560394268;740;[-1,-1,-1,-1,-1,-1];32;0.278000116348;0;0;
8;0.831781038121;0.94988348473;653;[-1,-1,-1,-1,-1,-1];32;0.273999929428;0;0;
9;0.858489889112;0.953062616052;592;[-1,-1,-1,-1,-1,-1];40;0.345999956131;0;0;
10;0.797197687897;0.947746236816;643;[-1,-1,-1,-1,-1,-1];54;0.463000059128;0;0;
11;0.882741119462;0.965097110724;514;[-1,-1,-1,-1,-1,-1];32;0.280000209808;0;0;
12;0.855455286989;0.956001502208;504;[-1,-1,-1,-1,-1,-1];74;0.628999948502;0;0;
13;0.858314055051;0.964473519044;569;[-1,-1,-1,-1,-1,-1];32;0.276999950409;0;0;
14;0.88394967746;0.967325028683;648;[-1,-1,-1,-1,-1,-1];32;0.276999950409;0;0;
15;0.827564620234;0.952393546502;564;[-1,-1,-1,-1,-1,-1];50;0.427999973297;0;0;
16;0.841577515768;0.945999874133;495;[-1,-1,-1,-1,-1,-1];88;0.741000175476;0;0;
17;0.828405369883;0.958395045907;513;[-1,-1,-1,-1,-1,-1];33;0.286000013351;0;0;
18;0.881563730273;0.961692990093;540;[-1,-1,-1,-1,-1,-1];35;0.299999952316;0;0;
19;0.855355745006;0.951026452306;543;[-1,-1,-1,-1,-1,-1];67;0.575000047684;0;0;
20;0.848394177885;0.95655968956;602;[-1,-1,-1,-1,-1,-1];59;0.501999855042;0;0;
21;0.840323194789;0.955212070949;602;[-1,-1,-1,-1,-1,-1];47;0.40700006485;0;0;
22;0.849705053288;0.96450244754;637;[-1,-1,-1,-1,-1,-1];32;0.275000095367;0;0;
23;0.820855029272;0.95180338287;506;[-1,-1,-1,-1,-1,-1];32;0.27799987793;0;0;
24;0.877046630362;0.961658790585;540;[-1,-1,-1,-1,-1,-1];90;0.759000062943;0;0;
25;0.817537265168;0.941933016558;674;[-1,-1,-1,-1,-1,-1];50;0.430999994278;0;0;
26;0.842946453898;0.961430895702;675;[-1,-1,-1,-1,-1,-1];32;0.280999898911;0;0;
27;0.832519160253;0.956628945766;734;[-1,-1,-1,-1,-1,-1];62;0.527000188828;0;0;
28;0.848812911278;0.961055740262;686;[-1,-1,-1,-1,-1,-1];98;0.832000017166;0;0;
29;0.806620770194;0.947662954136;575;[-1,-1,-1,-1,-1,-1];32;0.27799987793;0;0;
30;0.825803998445;0.953237113562;575;[-1,-1,-1,-1,-1,-1];32;0.279000043869;0;0;
31;0.844896685003;0.957753629906;591;[-1,-1,-1,-1,-1,-1];32;0.276999950409;0;0;
32;0.839970856405;0.947890165011;525;[-1,-1,-1,-1,-1,-1];35;0.305999994278;0;0;
33;0.813881940139;0.953459900841;553;[-1,-1,-1,-1,-1,-1];32;0.276999950409;0;0;
34;0.834214392376;0.954019970323;700;[-1,-1,-1,-1,-1,-1];36;0.3140001297;0;0;
35;0.826021960758;0.952087750084;606;[-1,-1,-1,-1,-1,-1];56;0.480999946594;0;0;
36;0.839880489122;0.946826468826;583;[-1,-1,-1,-1,-1,-1];36;0.311000108719;0;0;
37;0.844978116772;0.952425599858;566;[-1,-1,-1,-1,-1,-1];32;0.283999919891;0;0;
38;0.832610931499;0.957906905054;609;[-1,-1,-1,-1,-1,-1];32;0.273999929428;0;0;
39;0.84692054042;0.959683522088;616;[-1,-1,-1,-1,-1,-1];33;0.292000055313;0;0;
40;0.847341850242;0.959328701727;647;[-1,-1,-1,-1,-1,-1];48;0.413000106812;0;0;
41;0.804264673378;0.949151183573;645;[-1,-1,-1,-1,-1,-1];32;0.276999950409;0;0;
42;0.85662606471;0.962804717422;675;[-1,-1,-1,-1,-1,-1];37;0.320999860764;0;0;
43;0.835999338369;0.947355517208;545;[-1,-1,-1,-1,-1,-1];36;0.315999984741;0;0;
44;0.827749856184;0.945515957102;678;[-1,-1,-1,-1,-1,-1];53;0.450999975204;0;0;
45;0.849850518115;0.950007465107;460;[-1,-1,-1,-1,-1,-1];32;0.278000116348;0;0;
46;0.8750964634;0.946030811638;485;[-1,-1,-1,-1,-1,-1];57;0.483999967575;0;0;
47;0.87016611149;0.954516812438;561;[-1,-1,-1,-1,-1,-1];32;0.275000095367;0;0;
48;0.879173872113;0.95942078356;735;[-1,-1,-1,-1,-1,-1];49;0.421999931335;0;0;
49;0.867412512948;0.966545090992;582;[-1,-1,-1,-1,-1,-1];32;0.278000116348;0;0;
50;0.842669304292;0.956431373733;579;[-1,-1,-1,-1,-1,-1];66;0.565999984741;0;0;
51;0.846258197557;0.95988897255;646;[-1,-1,-1,-1,-1,-1];39;0.335999965668;0;0;
52;0.879219400837;0.958971126697;644;[-1,-1,-1,-1,-1,-1];48;0.411000013351;0;0;
53;0.824070220083;0.945722748139;578;[-1,-1,-1,-1,-1,-1];41;0.351999998093;0;0;
54;0.860771936609;0.961255151303;624;[-1,-1,-1,-1,-1,-1];32;0.279000043869;0;0;
55;0.870569606754;0.954860858596;647;[-1,-1,-1,-1,-1,-1];43;0.371999979019;0;0;
56;0.839499058287;0.952183794059;523;[-1,-1,-1,-1,-1,-1];32;0.274999856949;0;0;
57;0.867859758664;0.95558457638;576;[-1,-1,-1,-1,-1,-1];32;0.291000127792;0;0;
58;0.812753895851;0.954666215124;658;[-1,-1,-1,-1,-1,-1];76;0.641000032425;0;0;
59;0.83246086636;0.944986842725;730;[-1,-1,-1,-1,-1,-1];42;0.355999946594;0;0;
60;0.846775184087;0.96005010802;661;[-1,-1,-1,-1,-1,-1];32;0.276999950409;0;0;
61;0.823312016352;0.959272190499;660;[-1,-1,-1,-1,-1,-1];52;0.446000099182;0;0;
62;0.859118303131;0.953696254355;550;[-1,-1,-1,-1,-1,-1];75;0.635999917984;0;0;
63;0.848815758205;0.963588491486;729;[-1,-1,-1,-1,-1,-1];35;0.305000066757;0;0;
64;0.841335288501;0.962229413187;687;[-1,-1,-1,-1,-1,-1];32;0.283999919891;0;0;
65;0.845834882337;0.951840915834;652;[-1,-1,-1,-1,-1,-1];32;0.276999950409;0;0;
66;0.845015152363;0.952129216861;666;[-1,-1,-1,-1,-1,-1];39;0.341000080109;0;0;
67;0.860279296848;0.965983390079;579;[-1,-1,-1,-1,-1,-1];33;0.284999847412;0;0;
68;0.822762140836;0.955126489015;708;[-1,-1,-1,-1,-1,-1];32;0.280000209808;0;0;
69;0.862340973766;0.958502846853;543;[-1,-1,-1,-1,-1,-1];32;0.27899980545;0;0;
70;0.842340116637;0.963383057492;702;[-1,-1,-1,-1,-1,-1];32;0.280000209808;0;0;
71;0.850825714932;0.952953308859;464;[-1,-1,-1,-1,-1,-1];32;0.27899980545;0;0;
72;0.843024031491;0.947369480531;539;[-1,-1,-1,-1,-1,-1];43;0.368000030518;0;0;
73;0.871927758299;0.96047937969;546;[-1,-1,-1,-1,-1,-1];32;0.28200006485;0;0;
74;0.842977823565;0.950463880711;597;[-1,-1,-1,-1,-1,-1];32;0.27999997139;0;0;
75;0.866591789628;0.953055234876;589;[-1,-1,-1,-1,-1,-1];32;0.286000013351;0;0;
76;0.875257989166;0.960325930047;461;[-1,-1,-1,-1,-1,-1];32;0.278000116348;0;0;
77;0.842131275684;0.962636880343;610;[-1,-1,-1,-1,-1,-1];32;0.274999856949;0;0;
78;0.805147603752;0.949346023569;503;[-1,-1,-1,-1,-1,-1];32;0.276999950409;0;0;
79;0.803673237074;0.95109274896;767;[-1,-1,-1,-1,-1,-1];32;0.278000116348;0;0;
80;0.874157015862;0.963084315834;519;[-1,-1,-1,-1,-1,-1];32;0.276000022888;0;0;
81;0.842861058698;0.963790324514;655;[-1,-1,-1,-1,-1,-1];67;0.572000026703;0;0;
82;0.8439408726;0.952022404547;591;[-1,-1,-1,-1,-1,-1];32;0.274999856949;0;0;
83;0.846992897615;0.960248302644;634;[-1,-1,-1,-1,-1,-1];32;0.278000116348;0;0;
84;0.867324175858;0.96561471564;687;[-1,-1,-1,-1,-1,-1];32;0.27799987793;0;0;
85;0.873680666688;0.950973037199;432;[-1,-1,-1,-1,-1,-1];32;0.278000116348;0;0;
86;0.871715521372;0.957704504449;504;[-1,-1,-1,-1,-1,-1];32;0.279000043869;0;0;
87;0.865810973507;0.964606922246;606;[-1,-1,-1,-1,-1,-1];32;0.27799987793;0;0;
88;0.823195971203;0.944071176304;600;[-1,-1,-1,-1,-1,-1];38;0.331000089645;0;0;
89;0.880573897054;0.96003088089;642;[-1,-1,-1,-1,-1,-1];33;0.286999940872;0;0;
90;0.841226524489;0.960058688745;649;[-1,-1,-1,-1,-1,-1];32;0.280999898911;0;0;
91;0.878727401481;0.963167895151;569;[-1,-1,-1,-1,-1,-1];35;0.305000066757;0;0;
92;0.852834148554;0.964010954689;782;[-1,-1,-1,-1,-1,-1];32;0.28200006485;0;0;
93;0.850242929329;0.965126907322;857;[-1,-1,-1,-1,-1,-1];32;0.276000022888;0;0;
94;0.883710957585;0.967248906908;644;[-1,-1,-1,-1,-1,-1];32;0.280999898911;0;0;
95;0.868086931981;0.954387710335;603;[-1,-1,-1,-1,-1,-1];52;0.453999996185;0;0;
96;0.870981387905;0.954934124017;685;[-1,-1,-1,-1,-1,-1];32;0.281000137329;0;0;
97;0.849050636746;0.95021650048;568;[-1,-1,-1,-1,-1,-1];32;0.27799987793;0;0;
98;0.83089240421;0.954929043395;599;[-1,-1,-1,-1,-1,-1];44;0.378000020981;0;0;
99;0.823823357801;0.957416008795;684;[-1,-1,-1,-1,-1,-1];32;0.278000116348;0;0;
;
Min relL:;Max relL:;Avg relL:;Min relR:;Max relR:;Avg relR:;Min iter:;Max iter:;Avg iter:;Min tc:;Max tc:;Avg tc:;Min sc:;Max sc:;Avg sc:;Min time:;Max time:;Avg time:;
