Limit Cost:;1000;

Num;RelL;RelR;Cost;Times;IterNum;Time(sec);GetTime_num;Sim_num;
0;0.824680861915;0.953467781307;740;[-1,-1,-1,-1,-1,-1];32;0.305000066757;0;0;
1;0.867858664385;0.947864247909;522;[-1,-1,-1,-1,-1,-1];49;0.447999954224;0;0;
2;0.849617610653;0.962041969182;606;[-1,-1,-1,-1,-1,-1];55;0.509000062943;0;0;
3;0.889208359287;0.930516681928;510;[-1,-1,-1,-1,-1,-1];33;0.338000059128;0;0;
4;0.885459753714;0.94976641325;558;[-1,-1,-1,-1,-1,-1];80;0.838999986649;0;0;
5;0.881239711574;0.931925627092;387;[-1,-1,-1,-1,-1,-1];32;0.306999921799;0;0;
6;0.881142215371;0.961327198545;508;[-1,-1,-1,-1,-1,-1];88;0.81600022316;0;0;
7;0.876569095419;0.944780915737;420;[-1,-1,-1,-1,-1,-1];35;0.348999977112;0;0;
8;0.851474752843;0.963197746068;592;[-1,-1,-1,-1,-1,-1];32;0.322999954224;0;0;
9;0.866243211465;0.964351118183;735;[-1,-1,-1,-1,-1,-1];32;0.302999973297;0;0;
;
Min relL:;Max relL:;Avg relL:;Min relR:;Max relR:;Avg relR:;Min iter:;Max iter:;Avg iter:;Min tc:;Max tc:;Avg tc:;Min sc:;Max sc:;Avg sc:;Min time:;Max time:;Avg time:;
0.824680861915;0.889208359287;0.867349423662;0.930516681928;0.964351118183;0.95092396992;32;88;46;0;0;0;0;0;0;0.302999973297;0.838999986649;0.453700017929;
